epoch,accuracy,loss,val_accuracy,val_loss
1,0.8171848654747009,0.5046588778495789,0.9472392797470093,0.16612374782562256
2,0.9500383138656616,0.165219247341156,0.9656441807746887,0.09548918157815933
3,0.9586460590362549,0.13059936463832855,0.9696319103240967,0.0836360901594162
4,0.9631490111351013,0.1161467581987381,0.9506134986877441,0.1575337052345276
5,0.9723387956619263,0.08575143665075302,0.9794478416442871,0.06660661101341248
6,0.9768418073654175,0.07093069702386856,0.9760736227035522,0.0694665014743805
7,0.9781283736228943,0.06944946199655533,0.9769938588142395,0.06866558641195297
8,0.9795374274253845,0.06371411681175232,0.9757668972015381,0.07607626169919968
9,0.9819267988204956,0.05578349530696869,0.9834355711936951,0.05387315899133682
10,0.978434681892395,0.06721528619527817,0.9779140949249268,0.06956116855144501
11,0.9840710759162903,0.049407828599214554,0.9779140949249268,0.06046578288078308
12,0.9878082275390625,0.03786149248480797,0.9806748628616333,0.06237555667757988
13,0.9738703966140747,0.07966261357069016,0.9717791676521301,0.09087236225605011
14,0.9840404391288757,0.04847358167171478,0.9745398759841919,0.07610476762056351
15,0.9871343374252319,0.04255959019064903,0.9803680777549744,0.05915331095457077
